,CUST_ID,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE,Clusters
15,C10016,6886.213231,1.0,1611.7,0.0,1611.7,2301.491267,0.5,0.0,0.5,0.166667,4,11,4494.449450364621,1993.439277,864.2065423050828,0.0,12,0
16,C10017,2072.074354,0.875,0.0,0.0,0.0,2784.274703,0.0,0.0,0.0,0.25,3,0,4494.449450364621,391.974562,864.2065423050828,0.0,8,3
17,C10018,41.089489,0.454545,519.0,0.0,519.0,0.0,0.416667,0.0,0.333333,0.0,0,8,4494.449450364621,254.590662,864.2065423050828,0.25,12,1
18,C10019,1989.072228,1.0,504.35,166.0,338.35,0.0,0.666667,0.083333,0.583333,0.0,0,9,4494.449450364621,1720.837373,864.2065423050828,0.0,12,2
19,C10020,3577.970933,1.0,398.64,0.0,398.64,0.0,1.0,0.0,1.0,0.0,0,12,4494.449450364621,1053.980464,864.2065423050828,0.0,12,2
20,C10021,2016.684686,1.0,176.68,0.0,176.68,0.0,0.666667,0.0,0.666667,0.0,0,8,4494.449450364621,223.0686,864.2065423050828,0.0,12,2
21,C10022,6369.531318,1.0,6359.95,5910.04,449.91,229.028245,1.0,0.916667,1.0,0.333333,6,92,4494.449450364621,2077.959051,864.2065423050828,0.0,12,0
22,C10023,132.34224,0.636364,815.9,0.0,815.9,0.0,1.0,0.0,1.0,0.0,0,17,4494.449450364621,2359.629958,864.2065423050828,0.0,12,2
23,C10024,3800.151377,0.818182,4248.35,3454.56,793.79,7974.415626,1.0,0.083333,0.916667,0.333333,13,13,4494.449450364621,9479.043842,864.2065423050828,0.0,12,0
24,C10025,5368.571219,1.0,0.0,0.0,0.0,798.949863,0.0,0.0,0.0,0.363636,4,0,4494.449450364621,1422.726707,864.2065423050828,0.0,11,3
25,C10026,169.781679,1.0,399.6,0.0,399.6,0.0,1.0,0.0,1.0,0.0,0,12,4494.449450364621,215.306142,864.2065423050828,0.0,12,2
26,C10027,1615.96724,1.0,102.0,102.0,0.0,244.840485,0.166667,0.166667,0.0,0.25,5,2,4494.449450364621,890.178845,864.2065423050828,0.0,12,3
27,C10028,125.694817,1.0,233.28,0.0,233.28,0.0,1.0,0.0,1.0,0.0,0,12,4494.449450364621,207.773715,864.2065423050828,0.0,12,2
28,C10029,7152.864372,1.0,387.05,204.55,182.5,2236.145259,0.666667,0.166667,0.416667,0.833333,16,8,4494.449450364621,1601.448347,864.2065423050828,0.0,12,0
29,C10030,22.06349,1.0,100.0,0.0,100.0,0.0,0.416667,0.0,0.416667,0.0,0,5,4494.449450364621,160.767773,864.2065423050828,0.0,12,1
30,C10031,12136.21996,1.0,3038.01,1013.2,2024.81,3183.583301,1.0,0.166667,1.0,0.5,10,64,4494.449450364621,4230.323491,864.2065423050828,0.0,12,0
31,C10032,1162.273324,1.0,1347.71,400.0,947.71,175.815755,1.0,0.083333,1.0,0.166667,2,45,4494.449450364621,645.998299,864.2065423050828,0.0,12,0
32,C10033,6732.823064,1.0,324.95,324.95,0.0,1189.533753,0.083333,0.083333,0.0,0.166667,3,3,4494.449450364621,1720.118876,864.2065423050828,0.0,12,3
33,C10034,125.660453,1.0,636.79,636.79,0.0,0.0,0.916667,0.916667,0.0,0.0,0,11,4494.449450364621,423.449696,864.2065423050828,0.3,12,2
34,C10035,3517.101616,0.727273,547.28,0.0,547.28,0.0,1.0,0.0,1.0,0.0,0,14,4494.449450364621,8735.607835,864.2065423050828,0.0,12,2
35,C10036,1656.350781,1.0,0.0,0.0,0.0,99.264367,0.0,0.0,0.0,0.083333,1,0,4494.449450364621,351.500199,864.2065423050828,0.0,12,3
36,C10037,7427.076941,1.0,0.0,0.0,0.0,8873.375046,0.0,0.0,0.0,0.727273,11,0,4494.449450364621,1636.361601,864.2065423050828,0.0,11,3
37,C10038,4047.480828,1.0,2380.55,1642.17,738.38,1697.660901,0.75,0.5,0.75,0.333333,7,41,4494.449450364621,1617.894416,864.2065423050828,0.0,12,0
38,C10039,6269.418144,1.0,204.0,204.0,0.0,2925.699862,0.083333,0.083333,0.0,0.333333,12,2,4494.449450364621,1237.111661,864.2065423050828,0.0,12,3
39,C10040,1411.60223,0.454545,963.24,963.24,0.0,6173.682877,0.083333,0.083333,0.0,0.333333,6,6,4494.449450364621,20071.07544,864.2065423050828,0.333333,12,0
40,C10041,663.44781,0.727273,0.0,0.0,0.0,3133.063934,0.0,0.0,0.0,0.25,3,0,4494.449450364621,3067.05783,864.2065423050828,0.166667,12,3
41,C10043,784.889762,0.909091,1526.59,786.3,740.29,2188.419607,0.583333,0.416667,0.333333,0.25,11,27,4494.449450364621,1262.309666,864.2065423050828,0.111111,12,0
42,C10044,4104.710798,1.0,203.82,203.82,0.0,0.0,0.083333,0.083333,0.0,0.0,0,1,4494.449450364621,868.275275,864.2065423050828,0.0,12,1
43,C10045,1360.742377,1.0,0.0,0.0,0.0,1481.587093,0.0,0.0,0.0,0.083333,1,0,4494.449450364621,378.294227,864.2065423050828,0.0,12,3
44,C10046,5315.945594,1.0,1525.44,469.8,1055.64,0.0,1.0,0.333333,1.0,0.0,0,20,4494.449450364621,1430.341501,864.2065423050828,0.0,12,2
45,C10047,2242.311686,1.0,437.0,97.0,340.0,184.648692,0.333333,0.083333,0.333333,0.166667,2,5,4494.449450364621,0.0,864.2065423050828,0.0,12,1
46,C10048,474.447149,0.5,109.74,0.0,109.74,1013.659552,0.375,0.0,0.25,0.125,1,3,4494.449450364621,176.013005,864.2065423050828,0.0,8,1
47,C10049,3910.111237,1.0,0.0,0.0,0.0,1980.873201,0.0,0.0,0.0,0.5,7,0,4494.449450364621,0.0,864.2065423050828,0.0,12,3
48,C10050,229.867179,1.0,2390.6,1402.93,987.67,0.0,1.0,0.666667,1.0,0.0,0,87,4494.449450364621,2543.953559,864.2065423050828,0.916667,12,2
49,C10051,863.809833,1.0,507.5,507.5,0.0,695.097159,0.166667,0.166667,0.0,0.083333,2,3,4494.449450364621,587.866451,864.2065423050828,0.083333,12,3
50,C10052,4931.331857,1.0,901.42,646.07,255.35,8530.648614,0.625,0.375,0.25,0.875,37,9,4494.449450364621,8113.297346,864.2065423050828,0.0,8,0
51,C10053,1078.888565,1.0,3107.85,2221.74,886.11,0.0,0.666667,0.583333,0.5,0.0,0,18,4494.449450364621,1399.82834,864.2065423050828,0.0,12,2
52,C10054,1565.681099,1.0,0.0,0.0,0.0,321.359135,0.0,0.0,0.0,0.25,3,0,4494.449450364621,691.825279,864.2065423050828,0.0,12,3
53,C10055,464.674156,0.888889,1979.22,1979.22,0.0,1981.265503,0.666667,0.666667,0.0,0.111111,1,11,4494.449450364621,3110.052742,864.2065423050828,0.2,9,0
54,C10056,6.660517,0.636364,310.0,0.0,310.0,0.0,0.666667,0.0,0.666667,0.0,0,8,4494.449450364621,417.016763,864.2065423050828,0.0,12,1
55,C10057,1311.995984,1.0,1283.9,1283.9,0.0,0.0,0.25,0.25,0.0,0.0,0,6,4494.449450364621,0.0,864.2065423050828,0.0,12,1
56,C10058,3625.218146,1.0,313.27,313.27,0.0,668.468743,0.25,0.25,0.0,0.416667,5,4,4494.449450364621,0.0,864.2065423050828,0.0,12,3
57,C10059,2386.330629,1.0,5217.62,4789.09,428.53,0.0,0.916667,0.916667,0.5,0.0,0,42,4494.449450364621,5678.729613,864.2065423050828,0.083333,12,2
58,C10060,3971.138765,1.0,0.0,0.0,0.0,224.575517,0.0,0.0,0.0,0.181818,3,0,4494.449450364621,764.938728,864.2065423050828,0.0,11,3
59,C10061,5493.90406,1.0,229.0,0.0,229.0,970.591332,0.416667,0.0,0.333333,0.333333,4,6,4494.449450364621,2110.557023,864.2065423050828,0.0,12,0
60,C10062,1879.114033,0.727273,113.0,113.0,0.0,0.0,0.166667,0.166667,0.0,0.0,0,2,4494.449450364621,3509.686561,864.2065423050828,0.0,12,1
61,C10063,1555.793701,1.0,66.2,66.2,0.0,0.0,0.083333,0.083333,0.0,0.0,0,1,4494.449450364621,338.083661,864.2065423050828,0.0,12,1
62,C10064,809.582978,0.909091,0.0,0.0,0.0,3819.672466,0.0,0.0,0.0,0.545455,7,0,4494.449450364621,4372.148648,864.2065423050828,0.090909,11,3
63,C10065,7.152356,0.090909,840.0,840.0,0.0,0.0,0.083333,0.083333,0.0,0.0,0,1,4494.449450364621,0.0,864.2065423050828,0.0,12,1
64,C10067,1923.886805,1.0,1887.64,0.0,1887.64,1605.949371,1.0,0.0,1.0,0.083333,4,61,4494.449450364621,3688.045998,864.2065423050828,0.083333,12,0
65,C10068,1758.059987,1.0,412.33,325.21,87.12,0.0,0.583333,0.333333,0.166667,0.0,0,11,4494.449450364621,777.451648,864.2065423050828,0.0,12,2
66,C10069,809.847455,0.875,0.0,0.0,0.0,908.423608,0.0,0.0,0.0,0.125,1,0,4494.449450364621,146.074769,864.2065423050828,0.0,8,3
67,C10070,1576.305029,1.0,0.0,0.0,0.0,382.908547,0.0,0.0,0.0,0.416667,6,0,4494.449450364621,540.022225,864.2065423050828,0.0,12,3
68,C10071,3990.523579,1.0,263.5,190.6,72.9,0.0,0.666667,0.083333,0.583333,0.0,0,8,4494.449450364621,6876.836205,864.2065423050828,0.083333,12,2
69,C10072,1699.435486,1.0,1363.69,1363.69,0.0,0.0,0.333333,0.333333,0.0,0.0,0,4,4494.449450364621,1623.816348,864.2065423050828,0.0,12,2
70,C10073,5487.683724,1.0,419.1,0.0,419.1,625.399386,0.916667,0.0,0.833333,0.333333,4,11,4494.449450364621,1288.214909,864.2065423050828,0.0,12,0
71,C10074,2990.422186,0.909091,4523.27,1664.09,2859.18,27296.48576,0.666667,0.5,0.583333,0.833333,27,33,4494.449450364621,28232.69446,864.2065423050828,0.454545,12,0
72,C10075,656.01301,1.0,0.0,0.0,0.0,1474.349901,0.0,0.0,0.0,0.125,3,0,4494.449450364621,910.457985,864.2065423050828,0.25,8,3
73,C10077,1808.972419,1.0,713.9,503.08,210.82,0.0,0.5,0.1,0.4,0.0,0,8,4494.449450364621,889.017418,864.2065423050828,0.0,10,2
74,C10078,532.334517,0.909091,791.94,516.64,275.3,0.0,0.272727,0.090909,0.181818,0.0,0,7,4494.449450364621,1305.177304,864.2065423050828,0.0,11,2
75,C10079,5860.433624,1.0,561.87,249.5,312.37,0.0,0.833333,0.166667,0.75,0.0,0,14,4494.449450364621,1990.044998,864.2065423050828,0.0,12,2
76,C10080,1727.638449,1.0,606.11,606.11,0.0,0.0,1.0,1.0,0.0,0.0,0,17,4494.449450364621,2959.920544,864.2065423050828,0.0,12,2
77,C10081,578.809679,1.0,320.0,0.0,320.0,0.0,0.75,0.0,0.666667,0.0,0,8,4494.449450364621,1438.910569,864.2065423050828,0.0,12,2
78,C10082,1205.716678,1.0,0.0,0.0,0.0,38.325801,0.0,0.0,0.0,0.083333,1,0,4494.449450364621,29.278671,864.2065423050828,0.0,12,3
79,C10083,6593.820644,1.0,388.66,388.66,0.0,4621.93458,0.583333,0.583333,0.0,0.416667,7,7,4494.449450364621,1624.583114,864.2065423050828,0.0,12,0
80,C10084,17.357563,0.909091,244.85,40.21,204.64,0.0,0.666667,0.166667,0.583333,0.0,0,13,4494.449450364621,357.802082,864.2065423050828,0.181818,12,2
81,C10085,81.584711,0.272727,0.0,0.0,0.0,2985.300006,0.0,0.0,0.0,0.166667,5,0,4494.449450364621,116.569033,864.2065423050828,0.0,12,3
82,C10086,3.78631,0.636364,133.05,28.2,104.85,0.0,0.416667,0.166667,0.25,0.0,0,5,4494.449450364621,210.053432,864.2065423050828,0.444444,12,1
83,C10087,42.46443,0.545455,396.0,0.0,396.0,0.0,0.5,0.0,0.416667,0.0,0,12,4494.449450364621,725.606194,864.2065423050828,1.0,12,1
84,C10088,1935.362486,1.0,4915.6,4515.34,400.26,293.844792,1.0,1.0,0.333333,0.083333,1,50,4494.449450364621,4921.066897,864.2065423050828,0.0,12,0
85,C10089,134.917202,1.0,1247.8,1247.8,0.0,0.0,1.0,1.0,0.0,0.0,0,22,4494.449450364621,1275.229436,864.2065423050828,1.0,12,2
86,C10090,7069.950386,1.0,1603.78,1445.14,158.64,5626.004046,1.0,0.833333,1.0,0.75,23,23,4494.449450364621,4589.873897,864.2065423050828,0.0,12,0
87,C10092,8181.251131,1.0,2258.01,1318.78,939.23,5251.228934,1.0,0.75,1.0,0.75,21,60,4494.449450364621,3021.575846,864.2065423050828,0.0,12,0
88,C10093,4037.305658,1.0,45.0,45.0,0.0,104.238064,0.083333,0.083333,0.0,0.083333,1,1,4494.449450364621,1073.844885,864.2065423050828,0.0,12,3
89,C10094,6110.265264,1.0,0.0,0.0,0.0,2717.253917,0.0,0.0,0.0,0.416667,14,0,4494.449450364621,1502.205631,864.2065423050828,0.0,12,3
90,C10095,9381.255094,1.0,5100.07,1147.83,3952.24,370.737197,1.0,0.25,0.916667,0.083333,1,46,4494.449450364621,6409.496345,864.2065423050828,0.0,12,0
91,C10096,1977.00709,1.0,1032.04,226.9,805.14,4335.919227,0.909091,0.090909,0.818182,0.545455,21,17,4494.449450364621,3056.424974,864.2065423050828,0.090909,11,0
92,C10097,1321.47608,1.0,45.65,45.65,0.0,495.657934,0.083333,0.083333,0.0,0.083333,1,1,4494.449450364621,440.840439,864.2065423050828,0.0,12,3
93,C10098,1307.717841,1.0,405.6,405.6,0.0,0.0,0.166667,0.166667,0.0,0.0,0,2,4494.449450364621,0.0,864.2065423050828,0.0,12,1
94,C10099,2329.485768,1.0,213.34,213.34,0.0,0.0,0.25,0.25,0.0,0.0,0,3,4494.449450364621,0.0,864.2065423050828,0.0,12,1
95,C10100,1139.782882,1.0,0.0,0.0,0.0,120.612912,0.0,0.0,0.0,0.083333,1,0,4494.449450364621,151.823651,864.2065423050828,0.0,12,3
96,C10101,1619.955708,1.0,739.44,739.44,0.0,0.0,0.666667,0.666667,0.0,0.0,0,11,4494.449450364621,417.128532,864.2065423050828,0.0,12,2
97,C10102,3505.671311,1.0,0.0,0.0,0.0,1713.984305,0.0,0.0,0.0,0.5,6,0,4494.449450364621,0.0,864.2065423050828,0.0,12,3
98,C10103,4.708041,0.363636,79.0,0.0,79.0,0.0,0.25,0.0,0.166667,0.0,0,3,4494.449450364621,217.820198,864.2065423050828,1.0,12,1
99,C10104,0.0,0.0,0.0,0.0,0.0,89.849004,0.0,0.0,0.0,0.142857,1,0,4494.449450364621,138.021428,864.2065423050828,0.0,7,1
100,C10105,4.875885,0.666667,20.0,20.0,0.0,0.0,0.111111,0.111111,0.0,0.0,0,1,4494.449450364621,26.487919,864.2065423050828,0.0,9,1
101,C10106,23.394411,0.272727,1346.28,0.0,1346.28,0.0,1.0,0.0,1.0,0.0,0,12,4494.449450364621,712.149153,864.2065423050828,0.0,12,1
102,C10107,3539.801912,1.0,2823.8,1540.41,1283.39,0.0,0.916667,0.916667,0.833333,0.0,0,75,4494.449450364621,9172.788366,864.2065423050828,0.083333,12,2
103,C10108,0.62424,0.090909,389.96,0.0,389.96,0.0,1.0,0.0,1.0,0.0,0,31,4494.449450364621,0.0,864.2065423050828,0.0,12,1
104,C10109,862.07238,1.0,0.0,0.0,0.0,920.309805,0.0,0.0,0.0,0.083333,1,0,4494.449450364621,2236.890255,864.2065423050828,0.083333,12,3
105,C10110,2441.542991,1.0,808.0,808.0,0.0,959.857263,0.25,0.25,0.0,0.333333,6,4,4494.449450364621,532.741699,864.2065423050828,0.0,12,0
106,C10111,408.656365,1.0,941.64,0.0,941.64,0.0,1.0,0.0,1.0,0.0,0,12,4494.449450364621,1097.78942,864.2065423050828,0.083333,12,2
107,C10112,4986.400804,1.0,0.0,0.0,0.0,5439.467563,0.0,0.0,0.0,0.583333,40,0,4494.449450364621,1241.538024,864.2065423050828,0.0,12,3
108,C10113,1246.624558,1.0,423.7,177.64,246.06,412.399058,0.666667,0.166667,0.5,0.083333,2,10,4494.449450364621,577.050373,864.2065423050828,0.0,12,0
109,C10114,6644.201651,1.0,4478.75,2721.59,1757.16,7205.520805,1.0,0.916667,1.0,0.583333,21,64,4494.449450364621,10857.94321,864.2065423050828,0.083333,12,0
110,C10115,156.216753,0.818182,1354.86,585.63,769.23,0.0,0.916667,0.333333,0.833333,0.0,0,34,4494.449450364621,858.976682,864.2065423050828,0.0,12,2
111,C10116,3393.351236,1.0,0.0,0.0,0.0,1008.348672,0.0,0.0,0.0,0.083333,2,0,4494.449450364621,0.0,864.2065423050828,0.0,12,3
112,C10117,5322.994094,1.0,2812.2,857.12,1955.08,2510.352951,1.0,0.25,1.0,0.333333,8,81,4494.449450364621,1509.423237,864.2065423050828,0.0,12,0
113,C10118,6458.56209,1.0,0.0,0.0,0.0,3360.228794,0.0,0.0,0.0,0.25,11,0,4494.449450364621,1277.76778,864.2065423050828,0.0,12,3
114,C10119,175.341651,0.818182,1508.9,1252.36,256.54,0.0,0.666667,0.416667,0.333333,0.0,0,14,4494.449450364621,1884.227778,864.2065423050828,1.0,12,2
115,C10120,680.195157,1.0,1045.57,667.95,377.62,0.0,1.0,0.583333,1.0,0.0,0,25,4494.449450364621,552.432305,864.2065423050828,0.0,12,2
116,C10121,223.763616,0.636364,2309.78,0.0,2309.78,0.0,0.583333,0.0,0.5,0.0,0,12,4494.449450364621,1206.81188,864.2065423050828,0.333333,12,2
117,C10122,1785.626943,1.0,0.0,0.0,0.0,576.206382,0.0,0.0,0.0,0.25,10,0,4494.449450364621,687.691735,864.2065423050828,0.0,12,3
118,C10123,54.933231,0.272727,495.0,0.0,495.0,0.0,0.166667,0.0,0.166667,0.0,0,2,4494.449450364621,1969.845566,864.2065423050828,1.0,12,1
119,C10124,2662.629852,1.0,0.0,0.0,0.0,509.023801,0.0,0.0,0.0,0.333333,4,0,4494.449450364621,932.418855,864.2065423050828,0.0,12,3
120,C10125,8504.876253,1.0,6724.26,4100.08,2624.18,1686.599777,1.0,0.916667,1.0,0.5,10,85,4494.449450364621,1888.756861,864.2065423050828,0.0,12,0
121,C10126,1464.324632,1.0,1174.39,1174.39,0.0,0.0,0.25,0.25,0.0,0.0,0,8,4494.449450364621,0.0,864.2065423050828,0.0,12,1
122,C10127,2114.158683,1.0,5580.85,0.0,5580.85,0.0,1.0,0.0,1.0,0.0,0,75,4494.449450364621,3564.977774,864.2065423050828,0.0,12,2
123,C10128,2876.396444,1.0,0.0,0.0,0.0,998.84867,0.0,0.0,0.0,0.166667,2,0,4494.449450364621,1065.426905,864.2065423050828,0.0,12,3
124,C10130,14224.11541,1.0,0.0,0.0,0.0,4614.427403,0.0,0.0,0.0,0.333333,9,0,4494.449450364621,3066.614272,864.2065423050828,0.0,12,3
125,C10131,2392.917738,1.0,12462.44,12462.44,0.0,0.0,0.916667,0.916667,0.0,0.0,0,217,4494.449450364621,11628.71557,864.2065423050828,0.0,12,2
126,C10132,57.453201,0.75,0.0,0.0,0.0,272.713302,0.0,0.0,0.0,0.125,1,0,4494.449450364621,385.853874,864.2065423050828,0.166667,8,3
127,C10133,4245.855092,1.0,1957.3,1077.3,880.0,0.0,0.833333,0.166667,0.583333,0.0,0,19,4494.449450364621,1004.35474,864.2065423050828,0.0,12,2
128,C10134,11167.23403,1.0,150.64,150.64,0.0,8362.154254,0.083333,0.083333,0.0,0.5,14,1,4494.449450364621,2606.059389,864.2065423050828,0.0,12,3
129,C10135,69.405545,0.090909,0.0,0.0,0.0,2799.714934,0.0,0.0,0.0,0.083333,3,0,4494.449450364621,0.0,864.2065423050828,0.0,12,1
130,C10136,116.654149,0.272727,907.0,907.0,0.0,273.558033,0.25,0.25,0.0,0.083333,1,8,4494.449450364621,0.0,864.2065423050828,0.0,12,1
131,C10137,4637.848144,1.0,1271.12,351.54,919.58,0.0,0.833333,0.25,0.833333,0.0,0,33,4494.449450364621,1906.032044,864.2065423050828,0.0,12,2
132,C10138,24.28497,0.636364,250.6,0.0,250.6,0.0,0.583333,0.0,0.5,0.0,0,7,4494.449450364621,319.762903,864.2065423050828,0.0,12,1
133,C10139,9354.06045,1.0,796.33,796.33,0.0,13748.47131,0.083333,0.083333,0.0,0.666667,16,1,4494.449450364621,10664.65866,864.2065423050828,0.083333,12,3
134,C10140,231.108995,1.0,440.0,0.0,440.0,0.0,0.916667,0.0,0.916667,0.0,0,22,4494.449450364621,554.116542,864.2065423050828,0.0,12,2
135,C10141,1562.633343,1.0,1330.62,1169.63,160.99,0.0,0.5,0.166667,0.25,0.0,0,8,4494.449450364621,1020.783647,864.2065423050828,0.0,12,2
136,C10142,2494.868559,1.0,5491.79,1390.5,4101.29,0.0,1.0,0.5,1.0,0.0,0,52,4494.449450364621,1015.311953,864.2065423050828,0.0,12,2
137,C10143,706.132889,1.0,897.86,714.52,183.34,586.268966,0.916667,0.333333,0.916667,0.25,3,18,4494.449450364621,972.358048,864.2065423050828,0.0,12,0
138,C10144,19043.13856,1.0,22009.92,9449.07,12560.85,0.0,1.0,0.75,1.0,0.0,0,216,4494.449450364621,23018.57583,864.2065423050828,0.0,12,2
139,C10145,2235.103331,1.0,720.6,720.6,0.0,723.308724,1.0,1.0,0.0,0.083333,1,12,4494.449450364621,1061.292471,864.2065423050828,0.0,12,0
140,C10146,947.13081,1.0,197.06,148.66,48.4,0.0,0.333333,0.25,0.166667,0.0,0,5,4494.449450364621,492.200419,864.2065423050828,0.0,12,2
141,C10147,764.042156,0.818182,0.0,0.0,0.0,1307.102516,0.0,0.0,0.0,0.166667,3,0,4494.449450364621,1566.806897,864.2065423050828,0.0,12,3
142,C10148,5347.814547,1.0,0.0,0.0,0.0,4002.353384,0.0,0.0,0.0,0.5,9,0,4494.449450364621,0.0,864.2065423050828,0.0,12,3
143,C10149,10598.46777,1.0,2084.48,1300.48,784.0,0.0,0.666667,0.416667,0.583333,0.0,0,13,4494.449450364621,3219.621433,864.2065423050828,0.0,12,2
144,C10150,2163.678757,1.0,5779.36,3436.53,2342.83,0.0,1.0,1.0,1.0,0.0,0,97,4494.449450364621,4416.41268,864.2065423050828,0.0,12,2
145,C10151,3057.400553,1.0,1025.0,1025.0,0.0,0.0,0.083333,0.083333,0.0,0.0,0,2,4494.449450364621,698.854095,864.2065423050828,0.0,12,1
146,C10152,19.354559,0.909091,689.7,0.0,689.7,0.0,0.833333,0.0,0.833333,0.0,0,10,4494.449450364621,746.691026,864.2065423050828,0.0,12,2
147,C10153,264.811595,1.0,28.65,28.65,0.0,384.26178,0.083333,0.083333,0.0,0.083333,1,1,4494.449450364621,1235.630069,864.2065423050828,0.083333,12,3
148,C10154,1108.22253,0.909091,944.96,164.96,780.0,0.0,0.5,0.25,0.416667,0.0,0,9,4494.449450364621,1955.198953,864.2065423050828,0.0,12,2
149,C10155,906.573724,1.0,1039.2,80.0,959.2,103.102091,0.833333,0.083333,0.833333,0.083333,1,11,4494.449450364621,1855.235407,864.2065423050828,0.083333,12,2
150,C10156,7679.62904,1.0,4059.93,0.0,4059.93,555.469352,0.583333,0.0,0.5,0.166667,7,14,4494.449450364621,3685.61062,864.2065423050828,0.0,12,0
151,C10157,1523.911458,1.0,4075.37,3322.28,753.09,0.0,1.0,1.0,1.0,0.0,0,31,4494.449450364621,2254.26002,864.2065423050828,0.0,12,2
152,C10158,49.206256,1.0,870.24,0.0,870.24,0.0,1.0,0.0,1.0,0.0,0,24,4494.449450364621,835.839952,864.2065423050828,1.0,12,2
153,C10159,13673.07961,1.0,9792.23,3959.81,5832.42,2444.445738,1.0,0.75,1.0,0.75,26,216,4494.449450364621,11717.30794,864.2065423050828,0.0,12,0
154,C10160,106.455975,0.636364,2463.12,789.53,1673.59,0.0,1.0,0.5,1.0,0.0,0,46,4494.449450364621,2573.722764,864.2065423050828,0.636364,12,2
155,C10161,119.760904,0.363636,1859.34,0.0,1859.34,0.0,0.333333,0.0,0.25,0.0,0,4,4494.449450364621,3104.275623,864.2065423050828,0.25,12,1
156,C10162,5837.105453,1.0,3488.49,3262.25,226.24,3303.1523,1.0,1.0,0.5,0.75,15,46,4494.449450364621,0.0,864.2065423050828,0.0,12,0
157,C10163,1734.510004,1.0,0.0,0.0,0.0,66.275851,0.0,0.0,0.0,0.166667,2,0,4494.449450364621,363.474455,864.2065423050828,0.0,12,3
158,C10164,2765.748281,1.0,7283.31,5087.31,2196.0,0.0,1.0,1.0,0.666667,0.0,0,77,4494.449450364621,14373.3929,864.2065423050828,0.25,12,2
159,C10165,1046.37041,1.0,295.0,295.0,0.0,93.579809,0.083333,0.083333,0.0,0.083333,1,2,4494.449450364621,439.407082,864.2065423050828,0.0,12,3
